K,home_advantage,accuracy,log_loss,brier_score,correct,total
20,25,0.5257731958762887,1.018324058323338,0.6088602743298969,51,97
75,100,0.5257731958762887,1.0002551263319943,0.6024831631958762,51,97
75,75,0.5257731958762887,0.9834308629311855,0.5902666956701031,51,97
75,50,0.5257731958762887,0.9767426480418209,0.5840307126804124,51,97
25,50,0.5257731958762887,1.004702395163364,0.6000534247422681,51,97
70,75,0.5257731958762887,0.9834633479510856,0.5899124335051547,51,97
30,25,0.5257731958762887,1.0041761911453273,0.5987992831958763,51,97
30,50,0.5257731958762887,0.9985316018303338,0.5958599213402062,51,97
65,100,0.5257731958762887,1.0009486519248185,0.6025332322680412,51,97
50,25,0.5257731958762887,0.9868451108017215,0.587454854329897,51,97
50,50,0.5257731958762887,0.9822070754576842,0.5857135624742268,51,97
60,150,0.5154639175257731,1.063827805114082,0.6436989434020619,50,97
65,125,0.5154639175257731,1.0274954257863924,0.6205050248453609,50,97
55,150,0.5154639175257731,1.0654838507474627,0.6451013348453608,50,97
50,100,0.5154639175257731,1.005752430076506,0.6050814668041237,50,97
80,150,0.5154639175257731,1.0610416982165574,0.6402495658762887,50,97
15,50,0.5154639175257731,1.0198660299884377,0.610718032886598,50,97
35,100,0.5154639175257731,1.0157030216646303,0.6112443080412372,50,97
45,125,0.5154639175257731,1.0349902866641203,0.6255777570103094,50,97
25,75,0.5154639175257731,1.0099413559995365,0.6052058801030928,50,97
40,125,0.5154639175257731,1.0381298572217346,0.627644258556701,50,97
35,75,0.5154639175257731,0.999234985501697,0.5981892801030928,50,97
75,150,0.5051546391752577,1.0611518818127426,0.6407908273195875,49,97
20,50,0.5051546391752577,1.0118018273465754,0.6049922006185567,49,97
70,150,0.5051546391752577,1.0616887791522351,0.6415569531958762,49,97
65,150,0.5051546391752577,1.0625629171639763,0.6425155560824742,49,97
60,125,0.5051546391752577,1.0286588514514492,0.6213198463917526,49,97
30,75,0.5051546391752577,1.0041885600579779,0.6013857326804124,49,97
10,25,0.5051546391752577,1.0368084443314853,0.6224482557731958,49,97
40,100,0.5051546391752577,1.0117403469761466,0.6087450037113401,49,97
50,150,0.5051546391752577,1.0675655911873532,0.6467254310309278,49,97
50,125,0.5051546391752577,1.0323686746751848,0.623843402371134,49,97
45,100,0.5051546391752577,1.008432406175931,0.6066948816494846,49,97
55,125,0.5051546391752577,1.0302626096552991,0.6224215491752577,49,97
30,100,0.4948453608247423,1.0203230169388882,0.6142101007216495,48,97
20,75,0.4948453608247423,1.0165183843271026,0.6096318746391752,48,97
15,125,0.4845360824742268,1.0626792924824804,0.6430891160824743,47,97
15,150,0.4845360824742268,1.0953580615581149,0.6642660745360822,47,97
10,150,0.4845360824742268,1.101443242127464,0.6676374384536081,47,97
10,125,0.4845360824742268,1.0695129189964254,0.6472153191752579,47,97
15,100,0.4845360824742268,1.0385349134337345,0.6260337290721649,47,97
15,75,0.4845360824742268,1.0239904157685078,0.6147304910309279,47,97
20,100,0.4845360824742268,1.031704527686857,0.6215956141237113,47,97
20,125,0.4845360824742268,1.056520387194657,0.6393092764948454,47,97
20,150,0.4845360824742268,1.0898512528549609,0.6611079420618557,47,97
5,75,0.4845360824742268,1.0416872646639679,0.6268676413402062,47,97
5,50,0.4845360824742268,1.0391861729701508,0.6245950412371134,47,97
5,150,0.4845360824742268,1.1080708576441316,0.671213931030928,47,97
5,25,0.4845360824742268,1.0478304412241313,0.6306454016494845,47,97
35,150,0.4845360824742268,1.0765080426367621,0.6529401978350515,47,97
25,125,0.4845360824742268,1.0510057969937279,0.635878657628866,47,97
25,150,0.4845360824742268,1.0849086663226444,0.6581816114432989,47,97
5,100,0.4845360824742268,1.054562318197356,0.6363799203092784,47,97
40,150,0.4845360824742268,1.0730736109256753,0.6506449156701031,47,97
10,100,0.4845360824742268,1.0461446974125328,0.6309580650515464,47,97
45,150,0.4845360824742268,1.0700986187434458,0.6485766862886598,47,97
30,125,0.4845360824742268,1.0461029073039825,0.6327829728865979,47,97
30,150,0.4845360824742268,1.080450891799582,0.6554502072164948,47,97
5,125,0.4845360824742268,1.077053811685782,0.6516834435051546,47,97
10,75,0.4845360824742268,1.032363173752581,0.6204681758762886,47,97
10,50,0.4845360824742268,1.0289795626937497,0.6172504908247423,47,97
35,125,0.4845360824742268,1.0418336811062594,0.6300403398969072,47,97
25,100,0.4845360824742268,1.0256473082001933,0.6176615158762886,47,97
