Competition,Home,Away,Date,Time,HGFT,AGFT,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,H-Avg,D-Avg,A-Avg
World Cup 2026,USA,Australia,2026-06-19 00:00:00,20:00:00,2,,2,,,,,,,,90 minutes,10,5,2,2,12,16,7,4,3,4,,,1.08,0.34,1.53,4.33,5.75,1.61,4.5,6,1.61,4.4,6.5,1.55,4.08,5.79
World Cup 2026,Scotland,Morocco,2026-06-19 00:00:00,23:00:00,,1,,1,,,,,,,90 minutes,6,12,,2,11,8,2,5,1,1,,,0.52,1,5.25,3.75,1.67,6.2,3.8,1.72,5.8,3.8,1.72,5.42,3.61,1.67
World Cup 2026,Brazil,Haiti,2026-06-20 00:00:00,01:30:00,3,,3,,,,,,,,90 minutes,8,7,5,3,13,14,4,4,1,3,,,1.75,0.23,1.1,11,21,1.13,12.5,22,1.11,11.5,27,1.09,10.41,22.75
World Cup 2026,Turkey,Paraguay,2026-06-20 00:00:00,04:00:00,,1,,1,,,,,,,90 minutes,32,7,5,2,14,15,12,,1,1,,1,2.17,0.33,2.1,3.3,3.6,2.14,3.4,4,2.1,3.45,4,2.02,3.32,3.72
World Cup 2026,Netherlands,Sweden,2026-06-20 00:00:00,18:00:00,5,1,2,,3,1,,,,,90 minutes,10,16,7,8,9,12,2,5,,3,,,2.6,1.01,1.7,4,4.75,1.76,4.1,5.2,1.71,4.1,5,1.68,3.96,4.68
World Cup 2026,Germany,Ivory Coast,2026-06-20 00:00:00,21:00:00,2,1,,1,2,,,,,,90 minutes,16,9,7,2,5,7,8,3,,,,,1.89,1.22,1.44,4.75,6.5,1.49,5,7.6,1.53,4.8,7.1,1.46,4.65,6.3
World Cup 2026,Ecuador,Curacao,2026-06-21 00:00:00,01:00:00,,,,,,,,,,,90 minutes,27,10,15,3,7,10,9,,1,5,,,2.84,0.5,1.14,9,15,1.18,10,18,1.17,9.5,20,1.15,8.15,16.47
World Cup 2026,Tunisia,Japan,2026-06-21 00:00:00,05:00:00,,4,,2,,2,,,,,90 minutes,2,11,,5,8,15,3,5,,,,,0.04,2.13,8.5,4.5,1.4,9.2,4.5,1.48,8.5,4.6,1.48,7.69,4.3,1.43
World Cup 2026,Spain,Saudi Arabia,2026-06-21 00:00:00,17:00:00,4,,3,,1,,,,,,90 minutes,22,3,8,1,10,2,6,1,,2,,,2.3,0.13,1.1,11,21,1.12,13,28,1.11,13,27,1.09,10.69,22.81
World Cup 2026,Belgium,Iran,2026-06-21 00:00:00,20:00:00,,,,,,,,,,,90 minutes,23,7,7,3,7,9,4,2,1,1,1,,1.79,0.62,1.42,4.5,8,1.45,4.8,9.8,1.44,4.8,8.5,1.4,4.53,7.87
World Cup 2026,Uruguay,Cape Verde,2026-06-21 00:00:00,23:00:00,2,2,2,1,,1,,,,,90 minutes,17,12,2,4,11,4,11,4,2,2,,,2.31,0.88,1.38,4.75,8.5,1.41,4.9,11,1.41,5,10,1.37,4.5,9.1
World Cup 2026,New Zealand,Egypt,2026-06-22 00:00:00,02:00:00,1,3,1,,,3,,,,,90 minutes,11,19,5,7,14,8,4,3,2,1,,,1.24,1.87,5.75,3.9,1.62,6.2,4,1.68,6,4,1.67,5.64,3.76,1.61
World Cup 2026,Argentina,Austria,2026-06-22 00:00:00,18:00:00,2,,1,,1,,,,,,90 minutes,12,6,5,1,13,13,1,3,2,2,,,2.36,0.53,1.44,4.33,7.5,1.49,4.5,8.8,1.48,4.4,8,1.44,4.33,7.32
World Cup 2026,France,Iraq,2026-06-22 00:00:00,22:00:00,3,,1,,2,,,,,,90 minutes,19,4,5,,8,4,4,2,,1,,,2.67,0.62,1.07,12,26,1.09,15,48,1.09,14,36,1.07,12.03,28.13
World Cup 2026,Norway,Senegal,2026-06-23 00:00:00,01:00:00,3,2,1,,2,2,,,,,90 minutes,13,16,7,4,13,5,5,4,,,,,2.19,1.71,2.4,3.5,2.88,2.6,3.5,3,2.5,3.5,3.05,2.39,3.39,2.85
World Cup 2026,Jordan,Algeria,2026-06-23 00:00:00,04:00:00,1,2,1,,,2,,,,,90 minutes,8,17,4,8,11,6,1,10,1,1,,,0.64,1.89,7,4.5,1.45,7.6,4.7,1.51,7.5,4.5,1.53,6.87,4.37,1.46
World Cup 2026,Portugal,Uzbekistan,2026-06-23 00:00:00,18:00:00,5,,3,,2,,,,,,90 minutes,17,7,9,2,14,15,3,2,1,1,,,2.6,0.25,1.13,9,19,1.16,9.6,25,1.17,9,22,1.13,8.48,19.31
World Cup 2026,England,Ghana,2026-06-23 00:00:00,21:00:00,,,,,,,,,,,90 minutes,19,2,3,1,14,24,9,2,1,1,,,1.36,0.17,1.18,7.5,15,1.2,8.2,21,1.2,8,19,1.17,7.29,15.28
World Cup 2026,Panama,Croatia,2026-06-24 00:00:00,00:00:00,,1,,,,1,,,,,90 minutes,8,6,1,2,19,12,7,2,1,1,,,0.55,1.65,7.5,4.6,1.42,9,4.8,1.45,8,4.8,1.44,7.82,4.55,1.4
World Cup 2026,Colombia,D.R. Congo,2026-06-24 00:00:00,03:00:00,1,,,,1,,,,,,90 minutes,20,7,9,1,12,16,5,4,2,1,,,0.98,0.37,1.53,3.9,7,1.56,4.1,8,1.55,4.1,7.1,1.52,3.93,6.71
